pitch_location,pitch_category_breaking_pitch,pitch_category_offspeed_pitch,pitch_category_fastballs,pitch_category_other,dec_states,error_in_decision,post_s0,post_s1,post_s2,post_s3,post_s4,post_s5,post_s6,post_s7,post_s8,post_s9,post_s10,post_s11
0.1100000000000001,0,0,1,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,1.7823895329471e-310,0.0,0.0,0.0,0.0,0.0
0.421,0,0,1,0,0,do_nothing,1.0,0.0,0.0,5.4696941637453276e-129,0.0,4.5940895275582745e-154,0.0,0.0,0.0,3.0458256973863983e-180,0.0,0.0
0.2890000000000001,0,0,1,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5100000000000002,0,0,1,0,0,do_nothing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3189999999999999,0,0,1,0,8,correct,0.0,0.0,0.0,0.0,0.0,1.2339616625029864e-306,0.0,0.0,1.0,0.0,0.0,0.0
0.3409999999999999,0,0,1,0,4,do_nothing,0.0,0.0,0.0,3.8105245460159364e-135,1.0,6.008097390204879e-143,0.0,0.0,0.0,6.412039854179831e-273,0.0,0.0
0.011,0,0,1,0,3,do_nothing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0909999999999999,0,0,1,0,0,do_nothing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3409999999999999,0,0,1,0,8,do_nothing,0.0,0.0,0.0,0.0,4.180716780981867e-115,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.349,1,0,0,0,4,correct,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.677617649243392e-82,0.0,0.0,0.0
0.3209999999999999,0,0,1,0,4,do_nothing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.581,0,1,0,0,4,correct,0.0,0.0,0.0,6.510221016801348e-301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3209999999999999,0,0,1,0,4,do_nothing,0.0,0.0,0.0,4.2957898655250274e-204,1.0,2.212771806569044e-238,0.0,0.0,0.0,1.3252300892223226e-258,0.0,0.0
0.01,1,0,0,0,4,correct,0.0,0.0,0.0,1.5992367468295374e-132,1.0,8.237707374406908e-167,0.0,0.0,0.0,4.9335668713619e-187,0.0,0.0
0.2309999999999999,0,0,1,0,4,do_nothing,0.0,0.0,0.0,5.953638917340111e-61,1.0,6.108606215801122e-104,2.7614314610984188e-188,0.0,0.0,6.307452487754807e-111,0.0,0.0
0.01,0,0,1,0,9,correct,0.0,0.0,1.0751033783699537e-257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.609,0,0,1,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.119,0,0,1,0,10,incorrect,0.0,0.0,0.0,6.129843469912345e-265,0.0,0.0,1.9553421084143747e-284,0.0,0.0,0.0,1.0,0.0
0.099,0,0,1,0,1,do_nothing,0.0,1.0,5.944683736261795e-184,3.9997758514241326e-135,0.0,0.0,2.0989475841542877e-137,0.0,0.0,4.238764121166768e-90,6e-323,0.0
0.0699999999999998,0,0,1,0,9,correct,0.0,0.0,2.281905890074089e-120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.019,0,0,1,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4300000000000001,0,0,1,0,10,correct,0.0,0.0,0.0,2.6134323257314992e-294,0.0,0.0,8.3365167464e-314,0.0,0.0,0.0,1.0,0.0
0.7200000000000002,0,0,1,0,1,do_nothing,0.0,1.0,0.0,0.0,0.0,0.0,1.090206694570716e-188,0.0,0.0,1.807178801511717e-119,0.0,0.0
0.2600000000000002,0,0,1,0,9,correct,0.0,3.139244771623128e-168,2.281905890074219e-120,1.0179099078288817e-237,0.0,1.3101159285234461e-298,2.787416369023145e-227,1.4340464466087619e-303,0.0,1.0,1.3653054830151617e-279,0.0
0.2209999999999999,0,0,1,0,7,do_nothing,0.0,0.0,1.0255923375860169e-233,4.1335834050429236e-201,0.0,0.0,2.461731513510464e-205,1.0,0.0,1.3552500213673283e-136,0.0,0.0
0.02,0,0,1,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.399,0,0,1,0,0,correct,1.0,0.0,0.0,1.4398045501e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0609999999999999,0,0,1,0,8,do_nothing,0.0,0.0,0.0,3.132520187461607e-221,0.0,6.656113668026976e-178,2.384901868094e-312,0.0,1.0,0.0,0.0,0.0
0.3109999999999999,1,0,0,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0,0,1,0,0,correct,1.0,0.0,0.0,7.0048288449635815e-307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6499999999999999,1,0,0,0,8,do_nothing,0.0,0.0,0.0,2.9881950686571163e-210,0.0,3.238282377562585e-172,1.9487964548178509e-233,0.0,1.0,0.0,0.0,0.0
0.48,1,0,0,0,3,do_nothing,6.036859885718653e-249,0.0,1.9532226461311322e-181,1.0,9.452217789922898e-25,4.749372340877899e-77,1.5293940005684011e-184,0.0,1.6759816785369626e-119,1.4388783743077447e-100,0.0,0.0
0.3209999999999999,0,0,1,0,3,correct,1.1050074217245868e-167,0.0,0.0,1.0,1.9147485188541198e-177,2.96177611682362e-205,0.0,0.0,9.817787495693288e-271,7.965118460283558e-229,0.0,0.0
0.3389999999999999,0,0,1,0,0,do_nothing,1.0,0.0,0.0,5.469694163745639e-129,0.0,4.5940895275585355e-154,0.0,0.0,0.0,3.0458256973865708e-180,0.0,0.0
0.1800000000000001,0,0,1,0,3,do_nothing,1.0386796247520945e-167,0.0,6.593220105035208e-178,1.0,7.865081479551928e-138,2.709449252738789e-77,1.654776100452951e-182,1.1036356596074906e-282,8.916821716921507e-37,2.2884651959392607e-99,0.0,0.0
